@relation reopenBugInFuture
@attribute STR numeric
@attribute EB numeric
@attribute DWL numeric
@attribute DN numeric
@attribute OPC numeric
@attribute OPF numeric
@attribute FPC numeric
@attribute FPF numeric
@attribute SS numeric
@attribute locFixMean numeric
@attribute locFixMedian numeric
@attribute DWMCMean numeric
@attribute DWMCMedian numeric
@attribute ReadabilityMean numeric
@attribute ReadabilityMedian numeric
@attribute CDMean numeric
@attribute CDMedian numeric
@attribute CBOMean numeric
@attribute CBOMedian numeric
@attribute DITMean numeric
@attribute DITMedian numeric
@attribute LOCPreFixMean numeric
@attribute LOCPrefixMedian numeric
@attribute LCOMMean numeric
@attribute LCOMMedian numeric
@attribute NOCMean numeric
@attribute NOCMedian numeric
@attribute NOFMean numeric
@attribute NOFMedian numeric
@attribute NOMMean numeric
@attribute NOMMedian numeric
@attribute NOPMMean numeric
@attribute NOPMMedian numeric
@attribute NOPFMean numeric
@attribute NOPFMedian numeric
@attribute NOSMMean numeric
@attribute NOSMMedian numeric
@attribute NOSFMean numeric
@attribute NOSFMedian numeric
@attribute NOSIMean numeric
@attribute NOSIMedian numeric
@attribute RFCMean numeric
@attribute RFCMedian numeric
@attribute WMCMean numeric
@attribute WMCMedian numeric
@attribute BugReopen {false,true}

@data
0.0,0.0,115.0,3.0,0.0,0.0,210.0,52.0,0.3333333333333333,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,true
0.0,0.0,203.0,4.0,1.0,0.0,57.0,6.0,0.3333333333333333,56.0,56.0,1.0,1.0,0.0,0.0,2.235294117647059,2.235294117647059,12.0,12.0,2.0,2.0,49.0,49.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,true
0.0,0.0,652.0,3.0,0.0,0.0,61.0,3.0,1.0,890.5,890.5,0.0,0.0,0.0,0.0,13.571428571428571,13.571428571428571,11.0,11.0,2.0,2.0,891.0,891.0,370.5,370.5,0.0,0.0,1.5,1.5,21.5,21.5,18.5,18.5,0.0,0.0,1.5,1.5,0.0,0.0,0.0,0.0,86.5,86.5,45.5,45.5,true
0.0,0.0,24.0,3.0,0.0,0.0,391.0,55.0,0.3333333333333333,108.0,108.0,0.0,0.0,0.0,0.0,6.571428571428571,6.571428571428571,8.0,8.0,2.0,2.0,108.0,108.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,46.0,14.0,14.0,true
0.0,0.0,115.0,2.0,4.0,0.0,93.0,16.0,1.0,578.0,578.0,0.0,0.0,0.0,0.0,24.166666666666668,24.166666666666668,60.0,60.0,15.0,15.0,578.0,578.0,3492.0,3492.0,0.0,0.0,17.0,17.0,52.0,52.0,49.0,49.0,0.0,0.0,0.0,0.0,11.0,11.0,11.0,11.0,23.0,23.0,124.0,124.0,true
0.0,0.0,175.0,2.0,0.0,0.0,0.0,0.0,1.0,375.0,375.0,0.0,0.0,0.0,0.0,12.2,12.2,43.0,43.0,9.0,9.0,373.0,373.0,104.0,104.0,0.0,0.0,26.0,26.0,29.0,29.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,55.0,82.0,82.0,true
0.0,1.0,81.0,2.0,0.0,0.0,7.0,2.0,0.0,560.0,560.0,-0.5,-0.5,0.0,0.0,21.170329670329668,21.170329670329668,21.5,21.5,2.0,2.0,568.5,568.5,366.5,366.5,0.0,0.0,2.5,2.5,37.0,37.0,34.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.5,90.5,63.0,63.0,true
0.0,0.0,13.0,2.0,0.0,0.0,8.0,3.0,0.0,260.0,260.0,0.0,0.0,0.0,0.0,5.8,5.8,16.0,16.0,1.0,1.0,260.0,260.0,58.0,58.0,0.0,0.0,5.0,5.0,16.0,16.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,41.0,76.0,76.0,true
0.0,1.0,77.0,3.0,282.0,20.0,1934.0,261.0,1.0,190.5,190.5,8.5,8.5,0.0,0.0,3.875,3.875,9.0,9.0,1.5,1.5,162.0,162.0,97.0,97.0,0.0,0.0,0.5,0.5,12.5,12.5,12.0,12.0,0.0,0.0,10.0,10.0,0.5,0.5,0.5,0.5,15.5,15.5,48.0,48.0,true
0.0,0.0,1.0,0.0,283.0,48.0,283.0,48.0,0.0,210.0,210.0,6.0,6.0,0.0,0.0,9.647058823529411,9.647058823529411,48.0,48.0,2.0,2.0,197.0,197.0,10.0,10.0,0.0,0.0,5.0,5.0,9.0,9.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,43.0,41.0,41.0,false
0.0,1.0,126.0,0.0,0.0,0.0,133.0,28.0,0.0,431.0,431.0,9.0,9.0,0.0,0.0,19.33893557422969,19.33893557422969,30.0,30.0,2.5,2.5,408.0,408.0,96.0,96.0,0.0,0.0,2.5,2.5,9.0,9.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,92.0,67.0,67.0,false
0.0,0.0,23.0,0.0,451.0,60.0,451.0,60.0,0.0,267.5,267.5,0.0,0.0,0.0,0.0,12.40625,12.40625,18.5,18.5,1.5,1.5,260.0,260.0,12.5,12.5,0.0,0.0,2.5,2.5,7.5,7.5,7.5,7.5,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,46.0,46.0,33.5,33.5,false
0.0,0.0,22.0,5.0,1.0,0.0,78.0,32.0,0.5,133.0,133.0,-5.0,-5.0,0.0,0.0,6.8125,6.8125,9.0,9.0,2.0,2.0,146.0,146.0,31.0,31.0,0.0,0.0,6.0,6.0,14.0,14.0,13.0,13.0,0.0,0.0,3.0,3.0,2.0,2.0,2.0,2.0,23.0,23.0,33.0,33.0,false
